module_id,module,status,completion_score,completion_label,schema_proto_count,schema_message_count,schema_endpoint_count,live_endpoint_count,live_sample_count,crosscutting_live_sample_count,live_field_path_count,proto_files,services,zpk_asset_count,next_action
slots,Slots / Lobby / Spin / Jackpot,live-confirmed,90,substantial live structure,8,90,32,12,3118,0,94,AppClient.proto;AppServer.proto;Clubs.proto;GameHost.proto;NonSpinBonusGame.proto;Services.proto;Slots.proto;VideoPoker.proto,AppServer;GameHost;SlotsGameClient;SlotsGameServer,17,"Open the slot lobby, enter two named machines, mark each entry and change the bet once."
lottery,Lottery / Draw / Ticket,live-confirmed (cross-cutting/config only),65,partial live structure,5,29,5,0,0,70,54,AppClient.proto;AppServer.proto;Common.proto;Lottery.proto;Services.proto,AppClient;AppServer,1,Open every visible lottery/draw/ticket screen and mark the screen name.
missions,Missions / Quests / Daily-Weekly Tasks,live-confirmed,75,substantial live structure,4,16,3,2,9,0,31,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,0,"Open daily, weekly and general mission/quest panels separately and mark each tab."
battle_pass,Battle Pass,live-confirmed,75,substantial live structure,3,27,9,2,46,0,208,BattlePass.proto;Common.proto;Services.proto,AppClient;AppServer,1,"When an eligible account is available, open the Battle Pass main screen, reward track and daily/weekly mission tabs with markers."
mini_pass,MiniPass,schema-only / live sample pending,30,schema skeleton,4,24,10,0,0,0,0,AppServer.proto;Common.proto;MiniPass.proto;Services.proto,MiniPassClient;MiniPassServer,0,"Open MiniPass main, missions and milestone/reward-track screens with separate markers."
vault,Vault,live-confirmed,75,substantial live structure,5,18,4,2,607,0,41,AppClient.proto;AppServer.proto;Common.proto;Services.proto;Vault.proto,AppClient;AppServer,3,Open Vault main/detail/help screens and mark each view.
collection,Collection / Collection Event / Club Set,live-confirmed (cross-cutting/config only),65,partial live structure,4,39,7,0,0,188,248,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,3,"Open Collection Event, collection album/theme and any Club Set screen with markers."
conquest,Conquest,schema-only / live sample pending,35,schema skeleton,4,29,6,0,0,0,0,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,1,"Open the Conquest map, arena, slot/challenge and summary/leaderboard screens with markers."
charms,Charms / Trading,live-confirmed,75,substantial live structure,4,43,12,1,31,117,118,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,2,"Open Charms collection, milestones, pack/box and trading screens with markers."
loyalty,Loyalty / VIP,live-confirmed,75,substantial live structure,2,7,3,1,63,210,33,AppClient.proto;Services.proto,AppClient;AppServer,1,"Open the Loyalty/VIP overview, tier benefits and progress/history screens with markers."
clubs,Clubs / Social Club Progression,live-confirmed (cross-cutting/config only),65,partial live structure,3,79,28,0,0,27,10,Clubs.proto;Common.proto;Services.proto,AppClient;AppServer,7,"Open club home, member list, wall/chat, events, league/season and donation screens with markers."
offers,Offers / Shop / Bundles,live-confirmed,90,substantial live structure,5,62,15,8,148,6,256,AppClient.proto;AppServer.proto;Common.proto;Offers.proto;Services.proto,AppClient;AppServer;OfferServer,20,"Open main shop, each offer family, bundle detail, personal offer, Offer Trail and Tile Shop with markers."
purchases,Purchase / Checkout / Price Localization,live-confirmed (cross-cutting/config only),65,partial live structure,6,32,9,0,0,74,50,AppCharge.proto;AppClient.proto;AppServer.proto;Purchases.proto;Services.proto;Vouchers.proto,AppClient;AppServer;AppchargeClient;PurchaseClient;PurchaseServer,12,"Open purchase detail and proceed only to the platform checkout preview, then cancel before authorization."
rewards,Rewards / Mystery / Hourly / Free Gift,live-confirmed,90,substantial live structure,15,111,21,5,137,861,509,Adventure.proto;AppClient.proto;AppServer.proto;BattlePass.proto;Clubs.proto;Common.proto;CommonGameClient.proto;GameHost.proto;Lottery.proto;MiniPass.proto;NonSpinBonusGame.proto;Race.proto;Services.proto;Slots.proto;Sweepstakes.proto,AppClient;AppServer;CommonGameClient;GameHost,4,"Open hourly/daily/shop bonus, mystery reward and free-gift surfaces with markers."
