结论编号,主题,来源文件或commit,时间码或章节,证据类型,观察与推断,支持边界,状态,缺口
E01,来源与覆盖,S01 pop.mp4,00:00–01:12.17,直接观察,约72.17秒，996×558，30fps；一般逐秒核读，65–71秒按0.2秒核读,不是全量逐帧行为统计,已核读,游戏版本、服务区、房间配置未知
E02,体验链路,S01 pop.mp4,00:06–00:20,直接观察,加载/首页导航/活动锁定界面后回到大厅,没有老虎机玩法内画面,已核读,不能配对进入前/机台内/返回后座位
E03,人数与机台分布,S01 pop.mp4；图2,01:07.000，右上和左下MGM,直接观察,两组各4凳位、3人在座、1空座；左下组旁另有1人站立,选定同一镜头两组，角色身份未知，不外推全场,局部成立,全场人数、占用分布与长期空位规则未知
E04,人数与入座资格,S01 pop.mp4；图3,00:51.000，两组Emerald,直接观察,两组各3人在座、1可见空凳；空位面板有锁图标,空凳不等于当前玩家可用座位,局部成立,锁定入口点击后反馈未覆盖
E05,空间分布与补位,S01 pop.mp4；图2/3/5,00:43、00:51、01:07,直接观察+推断,机台前聚集角色，通道可见P，MGM旁有站立角色；推断空间分层共同提供活跃感,无全景，不合并跨时刻人数；未见空组补齐,局部观察/体验推断,人数总量、机器人占比、补位触发未知
E06,角色行为节奏,S01 pop.mp4；图4,00:51–01:04,直接观察,P站立、转向行走、经过棕色机台与紫色机台旁；外观连续,P是外观别名，操控身份为推测；遮挡时不补写动作,局部连续片段,P身份、完整停留时长、机器人完整周期未知
E07,完整行为循环,S01 pop.mp4,00:00–01:12.17,待验证,未获得同一已识别机器人从出现到离场的完整链,未覆盖不表示没有该行为,未覆盖,入场、落座、游玩、庆祝、起身、离场连续证据
E08,空位与入座,S01 pop.mp4；图1,00:00–00:05；图00:00.000,直接观察,引导文字要求点击空闲机台，箭头指向可用座位,证明引导意图，不证明点击后的完整行为,直接可见,点击空位后的落座、进入及等待表现
E09,跨界面一致性,S01 pop.mp4,00:06–00:20及全片,待验证,导航和大厅可见，未见玩法内同桌视图,返回大厅不自动证明同一房间或同一座位快照,未覆盖,进入前/玩法内/返回后的对应角色与座位
E10,占座点击与让位,S01 pop.mp4,00:21–01:12.17,待验证,有角色靠近机台，缺明确点击有人椅子/机台背板与结果,靠近不等于点击，不等于触发让位,未覆盖,点击对象、提示、让位前后连续链
E11,游玩与中奖表现,S01 pop.mp4；图5,01:05.0–01:11.0；0.2秒采样,直接观察,去重后3个可见浮层：2 BIG WIN、1 HUGE WIN；首见65.8秒及66.8秒,只统计此窗可见浮层；两处同窗不表示同帧；非真实Spin/奖励次数,窗口内成立,真实Spin、中奖概率、奖励到账与后台调度未知
E12,中奖反馈复现,S01 pop.mp4,00:37–00:40,直接观察,另一个多处中奖浮层片段,未把不同镜头/窗口计数外推长期频率,局部成立,固定周期和稳定触发率未知
E13,展示屏与动作,S01 pop.mp4；图6,00:51–00:55,直接观察,同一近景Emerald展示屏由777切到倍率宣传；在座动作变化可见,展示屏不是已确认的Spin/结算事件,局部成立,动作与具体玩家结果、周期的对应未知
E14,身份与资料连续性,S01 pop.mp4,00:51–01:04；01:07,直接观察,P短时外观连续，多种/相近角色外观和头顶资料标记可见,没有资料页、可靠身份映射或跨日复访,局部成立,资料字段全貌、跨日稳定、身份库规模未知
E15,房间/用户技术层,S02 DSH原报告；main 7df687e；blob e09ad16d974dd617fdfffa20bbd5ec251e60bf96,§1.1,原报告主张,记录房间用户管理、加入、数据解析、房间更新/合并符号,本轮核读报告，未独立复现原始符号和调用链,DSH已报告/本轮未复现,符号原始版本、所有用户来源和完整调用链
E16,机器人存在性,S02 DSH原报告；main 7df687e,§0、§3、末尾说明,原报告主张,DSH依据用户解析采样和资料分布判断有服务器填充模拟用户；本稿保留高概率工作假设,不是本轮独立实锤；编号/地区/游客名本身不等于自动控制标签,原研究判断,原始样本、字段语义、身份真值、29/28分母差异
E17,行为层与状态机,S02 DSH原报告；main 7df687e,§1.2、§2,原报告主张,记录Walk/Stand/WalkToSit/活动工厂/sitUser并还原全循环,符号不单独证明完整顺序、目标算法或人数保证,解释模型待补证,同一角色的运行时状态序列及分配条件
E18,调度与迁移建议,S02 DSH原报告；main 7df687e,§4、§5,原报告主张/建议,真人优先、主动让位等为原则映射与迁移建议；资料多样性为作者建议,不把建议升级为Pop操作实测，不重发账号资料,机制待验证,点击/让位实测、调度触发、机械行为时序样本
E19,历史技术环境,S03 User补充DSH收尾说明,2026-09-09当前任务补充,用户转述原研究,x86_64原生、Shaker/libBigCasino.so；历史Root、Frida枚举与parseUserData Hook采样,User提供的历史说明，不等于本轮运行或复现,已纳入来源,底层采样未在本轮访问范围找到
